"","idviv","posiTi","where","latitud","longitud","otraespecie","menores0a4","menores5a14","totalhabit","numperro","numgato","numgallinas","numcabras","otroanimal","cantotro","where.Tg","techo","pared"
"1116",1011208650,0,NA,"-28.44507001","-65.70542699",NA,0,0,4,2,0,0,0,NA,NA,NA,1,0
"1117",1011208339,0,NA,"-28.44828598","-65.70543503",NA,1,1,4,2,0,0,0,NA,NA,NA,0,0
"1118",1011205972,0,NA,"-28.44506599","-65.70543897",NA,1,1,5,4,0,0,0,NA,NA,NA,0,1
"1119",1011205977,0,NA,"-28.441804","-65.70552598",NA,0,0,1,3,0,1,0,NA,NA,NA,1,0
"1120",1011208715,0,NA,"-28.44166897","-65.70555003",NA,0,2,4,0,0,0,0,"Otros animales",4,NA,0,0
"1121",1011208732,0,NA,"-28.43996703","-65.70567702",NA,0,0,1,3,0,0,0,NA,NA,NA,0,0
"1122",1011208731,0,NA,"-28.439631","-65.70569102",NA,0,1,4,1,0,0,0,NA,NA,NA,0,0
"1123",1011208716,0,NA,"-28.44164098","-65.70569797","T. guasayana",0,3,6,7,1,0,0,NA,NA,"peri",1,0
"1124",1011208718,0,NA,"-28.44179797","-65.70569797",NA,1,1,4,0,0,0,0,NA,NA,NA,1,1
"1125",1011208258,0,NA,"-28.44800997","-65.70574198",NA,0,0,4,2,0,0,0,NA,NA,NA,0,0
"1126",1011208734,0,NA,"-28.44093103","-65.70580501",NA,1,0,3,2,0,0,0,NA,NA,NA,0,0
